,population,populationRank,populationPercentOfState,populationPercentOfStateRank,populationChangeSince2014,populationChangeSince2014Rank,populationChangeSince2014Number,populationChangeSince2014NumberRank,medianAge,medianAgeRank,medianAgeChangePercent,under18ChangeRank,under18Percent,under18Rank,under18ChangeSince2014Percent,under18ChangeSince2014Rank,over65in2024Percent,over65in2024Rank,over65ChangeSince2014Percent,over65ChangeSince2014Rank,veteranPercent,veteranRank,veteranNumber,veteranNumberRank,agriculturalLandAcres,agriculturalLandRank,agriculturalLandChangeSince2017Percent,agriculturalLandChangeSince2017Rank,numberOfFarms,numberOfFarmsRank,numberOfFarmsChangeSince2017Percent,numberOfFarmsChangeSince2017Rank,broadbandInternetAccess2022Percent,broadbandInternetAccessPercent2022Rank,broadbandInternetAccess2019Percent,broadbandInternetAccessPercent2019Rank,computingDeviceAccess2022Percent,computingDeviceAccess2022PercentRank,computingDeviceAccess2019Percent,computingDeviceAccess2019PercentRank,childPovertyPercent,childPovertyPercentRank,childPovertyTotal,childPovertyTotalRank,averageWeeklyWage,averageWeeklyWageRank,averageWeeklyWageAsPercentofStateAverage,averageWeeklyWageAsPercentofStateAverageRank,perCapitaIncome,perCapitaIncomeRank,perCapitaIncomeAsPercentofStatePCI,perCapitaIncomeAsPercentofStatePCIRank,gdp2022,gdp2022Rank,Gdp2021,gdp2021Rank,preKEnrollment2023Percent,preKEnrollment2023PercentRank,preKEnrollment2022Percent,preKEnrollment2022PercentRank,k12FundingADM,k12FundingADMRank,k12Funding,k12FundingRank,youthOpportunity2022Percent,youthOpportunity2022PercentRank,youthOpportunity2019Percent,youthOpportunity2019PercentRank,adultsWithoutHSDiplomaPercent,adultsWithoutHSDiplomaPercentRank,adultsWithoutHSDiplomaTotal,adultsWithoutHSDiplomaTotalRank,educationalAttainmentPercent,educationalAttainmentPercentRank,educationalAttainmentNumber,educationalAttainmentGoal2030,foodInsecurity2022Percent,foodInsecurity2022PercentRank,foodInsecurity2021Percent,foodInsecurity2021PercentRank,medicaidEnrollmentTraditionalPercent,medicaidEnrollmentTraditionalPercentRank,medicaidEnrollmentTraditionalNumber,medicaidEnrollmentTraditionalNumberRank,medicaidEnrollmentExpansionPercent,medicaidEnrollmentExpansionPercentRank,medicaidEnrollmentExpansionNumber,medicaidEnrollmentExpansionNumberRank,uninsuredResidents2021Percent,uninsuredResidents2021PercentRank,uninsuredResidents2020Percent,uninsuredResidents2020PercentRank,drugOverdoseEmergenciesPerHundredThousand,drugOverdoseEmergenciesPerHundredThousandRank,drugOverdoseEmergenciesTotal,drugOverdoseEmergenciesTotalRank,overDoseDeathsPerHundredThousand,overDoseDeathsRank,overDoseDeathsTotal,overDoseDeathsTotalRank,propertyTaxRate,propertyTaxRateRank,propertyTaxLevy,propertyTaxLevyRank,propertyTaxPerCapita,propertyTaxPerCapitaRank,propertyTaxTotalLevy,propertyTaxTotalLevyRank,PropertyValuationPerCapita,PropertyValuationPerCapitaRank,PropertyValuationTotal,PropertyValuationTotalRank,puvDeferredShare,puvDeferredShareRank,puvValuationDeferred,puvValuationDeferredRank,localSalesTaxRate,Area (Square Mile),demVotePercent2000,repVotePercent2000,demVotePercent2004,repVotePercent2004,demVotePercent2008,repVotePercent2008,demVotePercent2012,repVotePercent2012,demVotePercent2016,repVotePercent2016,demVotePercent2020,repVotePercent2020,demVotePercent2024,repVotePercent2024
Alamance,184114,15,0.0168,15,0.1836,13,28556,13,40.2239,70,0.9062,55,0.2051,38,0.2267,31,0.1908,74,0.1588,70,0.0514,82,9461,22,68769,51,-0.1408,75,724,21,0.0056,24,0.8600,32,0.7760,42,0.8229,28,0.7946,33,0.1500,16,5692,82,978,29,0.7750,29,48980,45,0.8429,45,6674.7130,18,6674.6940,18,0.4744,75,0.4640,76,"1,970.6644",49,48.8272,16,0.1249,39,0.1011,21,0.1107,52,4646,87,0.4768,30,20008,25925,0.1430,23,0.1140,22,0.3120,49,56595,88,0.0728,23,7674,83,0.1400,65,0.1450,65,168,62,284,86,34,31,58,78,0.4690,18,0.4320,13,601.3887,91,109.0883,20,139210.3498,45,25251.9222,16,0.0206,83,442.1605,25,0.0675,423.5000,0.373342742280387,0.626657257719613,0.383159220567534,0.616840779432466,0.453423648023582,0.546576351976418,0.430680885972108,0.569319114027892,0.434579303111525,0.565420696888475,0.457405072984531,0.542594927015469,0.458712074163571,0.541287925836429
Alexander,36464,67,0.0033,67,-0.0097,63,-359,63,44.2254,33,1.7993,25,0.1844,68,0.2082,65,0.2163,47,0.1771,49,0.0535,77,1950,72,50799,69,-0.0618,57,535,32,-0.0165,30,0.8360,42,0.7400,55,0.7722,54,0.7442,57,0.2090,47,1467,39,841,85,0.6664,85,48035,55,0.8266,55,884.3990,71,843.8640,71,0.3487,88,0.3383,93,"1,734.0132",59,7.3834,65,0.1670,72,0.1631,71,0.1145,54,990,40,0.3691,75,3191,4753,0.1490,34,0.1160,23,0.2940,39,10686,34,0.0834,40,1790,36,0.1290,41,0.1250,26,163,60,61,41,29,23,11,26,0.6500,58,0.6700,55,744.9968,65,27.0829,68,111193.5448,63,4042.2189,69,0.0760,34,272.1266,56,0.0700,260.0000,0.310710023866348,0.689289976133652,0.297053904541361,0.702946095458639,0.304711918381789,0.695288081618211,0.273422675521822,0.726577324478178,0.213306908267271,0.786693091732729,0.206908600808666,0.793091399191334,0.198397185301016,0.801602814698984
Alleghany,11464,93,0.0010,93,0.0494,54,540,54,45.9308,22,-1.0352,91,0.1675,83,0.1850,87,0.2668,18,0.2405,11,0.0725,31,831,94,63298,59,-0.1033,65,435,40,-0.0290,36,0.7920,69,0.7640,46,0.7166,78,0.7248,69,0.2530,72,458,8,779,96,0.6173,96,44464,80,0.7652,80,302.9810,90,303.3260,90,1.1270,14,0.9863,14,"2,170.7882",39,2.8589,83,0.1432,55,0.1597,66,0.2228,97,503,22,0.3773,70,852,1066,0.1800,93,0.1580,93,0.3109,47,3552,9,0.0921,56,562,8,0.1840,95,0.1700,89,135,48,15,15,45,57,5,10,0.5970,44,0.5970,36,1093.0464,16,12.4891,89,183089.8556,24,2091.9847,85,0.1708,8,366.6975,37,0.0700,234.8000,0.40390956194065,0.59609043805935,0.4,0.6,0.392808551992225,0.607191448007775,0.318318922179771,0.681681077820229,0.255078125,0.744921875,0.247131215699318,0.752868784300682,0.238302502720348,0.761697497279652
Anson,22059,75,0.0020,75,-0.1225,90,-3079,90,40.2914,69,0.3155,78,0.2108,28,0.2104,58,0.1949,71,0.1630,62,0.0633,43,1396,77,84695,39,-0.0074,42,421,43,0.0218,18,0.8340,43,0.7460,52,0.7123,79,0.6907,80,0.3260,94,1395,38,857,73,0.6791,73,50187,37,0.8637,37,836.6970,72,761.8180,76,0.6095,59,1.0131,13,null,null,null,null,0.1033,24,0.1552,62,0.1399,78,791,35,0.2314,100,1308,3185,0.1610,62,0.1250,39,0.4601,91,10163,33,0.1418,94,1754,35,0.1300,44,0.1280,33,160,57,39,31,29,21,7,18,0.7770,82,0.7770,78,783.9741,55,17.3156,80,100897.5611,75,2228.5244,82,0.2062,3,346.2923,38,0.0700,531.5000,0.602539922041997,0.397460077958003,0.587794548810946,0.412205451189054,0.605458126230892,0.394541873769108,0.627536879749665,0.372463120250335,0.565267727930535,0.434732272069465,0.521062106210621,0.478937893789379,0.487381703470032,0.512618296529968
Ashe,27196,73,0.0025,73,0.0193,55,514,55,48.3449,12,1.8653,23,0.1670,86,0.1886,81,0.2710,15,0.2291,15,0.0553,70,1503,74,84498,40,-0.2304,88,760,17,-0.1204,65,0.7940,65,0.7040,70,0.7858,48,0.7392,59,0.2060,45,911,24,859,71,0.6807,71,44433,81,0.7646,81,777.8080,76,763.3590,75,0.7879,33,1.2952,3,"2,390.4920",29,6.2966,67,0.0554,9,0.0561,4,0.0904,36,516,24,0.4385,42,2504,4133,0.1620,64,0.1310,50,0.2791,32,7528,26,0.0797,31,1167,22,0.1370,57,0.1380,57,96,28,26,25,26,17,7,18,0.4400,14,0.4400,14,977.1610,27,26.3589,70,222082.0430,10,5990.6631,55,0.0750,35,428.7048,29,0.0700,426.3000,0.391814008010159,0.608185991989841,0.38040615175461,0.61959384824539,0.380982170785111,0.619017829214889,0.33306360252468,0.66693639747532,0.271065675340768,0.728934324659232,0.266666666666667,0.733333333333333,0.275902864259029,0.724097135740971
Avery,17395,84,0.0016,84,-0.0201,62,-357,62,46.1265,20,2.2736,14,0.1526,96,0.1616,99,0.2364,32,0.1986,26,0.0513,83,892,92,22598,87,-0.2120,86,335,55,-0.0456,41,0.8110,50,0.7090,69,0.7786,50,0.7323,65,0.2050,44,502,10,808,94,0.6403,94,45653,69,0.7856,69,630.1700,80,631.5710,79,0.7561,36,0.8537,29,"2,889.2456",18,5.4000,73,0.0551,6,0.0587,6,0.1234,62,538,26,0.3872,66,1688,1782,0.1530,39,0.1310,50,0.2515,20,4374,11,0.0666,20,726,13,0.1550,80,0.1630,87,103,32,18,19,29,19,5,10,0.4000,9,0.4000,9,1411.8773,5,24.5582,74,352969.3138,2,6139.5482,54,0.0184,87,105.4974,92,0.0675,247.3000,0.253839205058717,0.746160794941283,0.241213417078712,0.758786582921288,0.277134495482886,0.722865504517114,0.246077405857741,0.753922594142259,0.211468636534368,0.788531363465632,0.234006194595749,0.765993805404251,0.236145090947772,0.763854909052228
Beaufort,43593,58,0.0040,58,-0.0608,87,-2822,87,46.1004,21,1.3820,38,0.1912,62,0.2135,52,0.2690,17,0.2168,20,0.0736,27,3207,50,139853,14,0.0027,38,259,66,-0.1645,81,0.8110,50,0.6930,77,0.7756,52,0.7359,63,0.2820,82,2374,50,906,44,0.7179,44,54554,25,0.9388,25,1861.6360,49,1876.2830,47,0.5159,69,0.4664,75,"2,589.9406",23,15.5785,40,0.1857,88,0.1354,47,0.1211,60,1123,42,0.4051,60,3755,5588,0.1570,50,0.1320,55,0.3677,73,16100,45,0.1136,83,2666,46,0.1380,61,0.1370,55,81,22,38,30,51,73,24,53,0.6250,52,0.6250,44,921.1172,37,40.3311,54,147378.7443,38,6452.9783,51,0.0623,40,273.8116,53,0.0675,832.7000,0.386484124672298,0.613515875327702,0.361052577478542,0.638947422521458,0.412586191847779,0.587413808152221,0.402998462327012,0.597001537672988,0.376024370360836,0.623975629639164,0.372314761631246,0.627685238368754,0.343480736382615,0.656519263617385
Bertie,16739,85,0.0015,85,-0.1525,89,-3011,89,40.6010,68,-1.3840,94,0.1945,55,0.1998,71,0.2121,51,0.1810,41,0.0648,40,1085,86,161862,8,0.0928,20,288,59,-0.1084,59,0.6370,99,0.5820,96,0.6940,88,0.6346,93,0.3490,96,996,26,812,93,0.6434,93,49409,43,0.8503,43,641.2690,78,629.4950,80,0.7935,32,0.8911,24,"1,851.7865",54,3.0277,79,0.1854,87,0.1846,87,0.1683,92,726,31,0.3683,77,1589,2372,0.1600,57,0.1410,75,0.4360,85,7342,24,0.1150,85,1103,20,0.1170,12,0.1140,7,69,10,13,12,32,27,6,14,0.9300,98,0.8650,95,765.3820,60,12.8883,87,88483.4709,87,1489.9732,94,0.1570,11,188.0740,75,0.0700,699.2000,0.651930609960828,0.348069390039172,0.617636022514071,0.382363977485929,0.653423673134175,0.346576326865825,0.66405475104146,0.33594524895854,0.625730994152047,0.374269005847953,0.608753587535875,0.391246412464125,0.578901195306503,0.421098804693497
Bladen,28850,72,0.0026,72,-0.1218,91,-4001,91,38.2589,84,-2.4802,98,0.2230,17,0.2246,35,0.1952,70,0.1771,48,0.0728,28,2101,71,146195,11,-0.1893,81,423,42,-0.1738,82,0.8040,58,0.7020,73,0.6953,87,0.7015,79,0.2750,79,1599,40,884,57,0.7005,57,48424,52,0.8333,52,1413.7950,63,1415.8020,64,0.9734,18,0.8716,27,"1,739.1327",58,8.0226,64,0.2067,96,0.2241,97,0.0879,31,565,27,0.3607,80,2319,4501,0.1750,88,0.1470,85,0.4630,93,13382,41,0.1192,87,1953,39,0.1450,71,0.1550,81,208,82,68,44,58,84,19,38,0.7850,83,0.7850,79,963.3205,28,27.8419,67,122715.9842,57,3546.7374,73,0.0956,24,243.2074,59,0.0675,875.0000,0.541965764770845,0.458034235229155,0.497354066596108,0.502645933403892,0.51043223919402,0.48956776080598,0.509930423782416,0.490069576217584,0.452203997949769,0.547796002050231,0.430890483472533,0.569109516527467,0.397478234764335,0.602521765235665
Brunswick,166886,19,0.0152,19,0.4452,5,51407,5,53.5000,1,4.2242,2,0.1394,99,0.1772,91,0.3252,3,0.2672,5,0.0870,14,14521,10,45150,72,0.0102,34,238,70,0.0303,17,0.9260,5,0.8450,12,0.9008,3,0.8703,11,0.1650,27,3441,67,951,32,0.7536,32,58281,16,1.0030,16,5646.9570,20,5377.1030,20,0.5195,67,0.4935,70,"3,693.9964",6,54.4310,14,0.1241,38,0.1515,60,0.0811,28,2077,61,0.4827,28,12365,22373,0.1350,17,0.1120,19,0.2242,12,35875,76,0.0814,33,6725,79,0.1220,21,0.1170,11,77,18,110,58,46,59,65,80,0.3420,5,0.3420,5,1075.4874,18,172.1017,15,314470.0100,4,50322.1199,7,0.0136,90,619.8556,16,0.0675,850.1000,0.459555088456823,0.540444911543177,0.393967431532198,0.606032568467802,0.409549957760541,0.590450042239459,0.388122787552174,0.611877212447826,0.352746886457986,0.647253113542014,0.373598026020637,0.626401973979363,0.374781684609343,0.625218315390657
Buncombe,279331,7,0.0254,7,0.1068,14,26947,14,44.0394,36,2.3936,12,0.1688,82,0.1946,77,0.2266,38,0.1798,42,0.0630,44,17589,7,78245,45,0.0825,21,1074,3,0.0009,28,0.8560,35,0.8160,21,0.8261,27,0.8173,24,0.1540,19,7209,88,1076,11,0.8526,11,61560,10,1.0594,10,15336.6160,7,14891.7100,7,0.4622,78,0.4104,83,"3,907.7526",4,113.2740,7,0.1137,28,0.1154,24,0.0717,18,5303,93,0.6035,9,44626,57403,0.1450,26,0.1190,29,0.2393,15,66131,91,0.0746,25,12316,93,0.1260,31,0.1450,65,199,77,520,93,58,82,151,94,0.5176,25,0.4980,19,924.9219,36,255.6179,6,185727.2965,21,51328.8958,5,0.0188,86,843.4981,10,0.0700,656.5000,0.455367058100796,0.544632941899204,0.497015111298498,0.502984888701502,0.57046068243188,0.42953931756812,0.563530312943842,0.436469687056158,0.57523176384484,0.42476823615516,0.607291397937418,0.392708602062582,0.625718235898477,0.374281764101523
Burke,89581,33,0.0082,33,0.0232,45,2034,45,43.4437,42,0.6035,66,0.1904,63,0.2103,59,0.2234,40,0.1827,36,0.0583,58,5221,35,44077,73,0.1407,15,473,38,-0.0689,46,0.7970,62,0.7190,65,0.7607,59,0.7089,77,0.1850,34,2780,55,886,56,0.7021,56,44631,78,0.7681,78,2615.8330,37,2598.4720,37,0.7598,35,0.6393,53,"1,567.9295",66,18.5000,37,0.1820,81,0.2216,96,0.1418,80,2911,76,0.4074,58,8363,9970,0.1720,85,0.1500,90,0.3343,60,29814,72,0.1099,80,5505,75,0.1460,74,0.1510,76,272,93,246,81,44,56,40,71,0.5600,32,0.5600,28,657.3756,82,58.6241,40,117388.5038,59,10468.5894,36,0.0210,82,180.2309,77,0.0675,506.2000,0.392365909838763,0.607634090161237,0.382642740619902,0.617357259380098,0.402697078615247,0.597302921384753,0.380921930604982,0.619078069395018,0.300114700312092,0.699885299687908,0.29721095679362,0.70278904320638,0.292321924144311,0.707678075855689
Cabarrus,248866,10,0.0227,10,0.2846,4,55137,4,39.6032,76,1.8251,24,0.2180,22,0.2584,7,0.1477,93,0.1228,89,0.0450,96,11198,15,64227,55,0.0088,36,630,25,0.0016,26,0.9050,14,0.8870,4,0.8844,12,0.8836,5,0.0990,4,5721,83,1008,21,0.7987,21,54754,24,0.9423,24,8667.4280,14,8456.9890,14,0.4731,76,0.3784,86,"2,306.6178",33,97.4984,9,0.1383,48,0.1286,38,0.0718,19,4383,85,0.5884,11,35925,49862,0.1150,3,0.0890,3,0.2459,18,59993,89,0.0647,16,9640,89,0.1080,5,0.1160,10,155,55,336,88,34,31,74,84,0.5760,36,0.7400,71,982.4706,26,239.6658,7,132766.2920,52,32387.2748,12,0.0331,72,896.7468,9,0.0700,361.2000,0.332407936637544,0.667592063362456,0.326873875509631,0.673126124490369,0.407202788176068,0.592797211823932,0.398623886610198,0.601376113389802,0.39759346317439,0.60240653682561,0.452014315548662,0.547985684451338,0.460876184032476,0.539123815967524
Caldwell,81884,35,0.0075,35,0.0075,53,608,53,43.8779,40,1.0335,50,0.1863,66,0.2101,61,0.2125,49,0.1762,50,0.0574,64,4703,39,35964,79,-0.0534,55,430,41,0.0462,16,0.8320,45,0.7810,39,0.7437,72,0.7451,56,0.2390,67,3682,71,939,33,0.7441,33,44761,77,0.7703,77,2388.1490,42,2394.2540,42,0.6156,57,0.5918,59,"1,401.9134",74,14.8000,45,0.1670,70,0.1618,69,0.1273,69,2273,66,0.3836,68,6847,10959,0.1600,57,0.1350,62,0.3607,71,29492,70,0.1016,73,4852,70,0.1380,61,0.1430,61,257,92,211,76,44,55,36,65,0.6300,54,0.6300,46,677.2034,78,55.3688,42,107492.6051,69,8788.7029,42,0.0432,59,273.1837,54,0.0675,471.9000,0.331263259402122,0.668736740597878,0.320634920634921,0.679365079365079,0.349091224318779,0.650908775681221,0.319336595657397,0.680663404342603,0.240398333618673,0.759601666381327,0.241832688131432,0.758167311868568,0.235106013208203,0.764893986791797
Camden,11291,94,0.0010,94,0.1261,49,1264,49,42.6738,50,0.8151,59,0.1818,70,0.2184,46,0.1875,77,0.1499,76,0.1080,7,1219,83,54621,65,-0.0780,61,76,95,-0.0617,44,0.9290,3,0.8620,9,0.8931,6,0.8729,8,0.0920,3,230,3,929,34,0.7361,34,56906,19,0.9793,19,171.9780,99,174.1400,99,2.1600,1,1.7419,1,"1,561.6866",67,3.0000,80,0.0987,22,0.1279,37,0.0509,3,130,2,0.5552,15,1419,1683,0.1200,5,0.0940,6,0.1739,5,1924,3,0.0450,5,310,3,0.1230,24,0.1350,48,92,25,10,6,37,40,4,7,0.7300,72,0.7300,64,1125.6164,15,12.4538,90,154194.0216,32,1706.0027,92,0.1213,18,202.4763,71,0.0675,240.3000,0.421669626998224,0.578330373001776,0.350615344330977,0.649384655669023,0.337133206670889,0.662866793329111,0.326619016677496,0.673380983322504,0.264315352697095,0.735684647302905,0.262779962386733,0.737220037613267,0.243988457839051,0.756011542160949
Carteret,70822,39,0.0064,39,0.0398,42,2709,42,48.8775,10,1.7354,27,0.1548,94,0.1785,89,0.2758,13,0.2216,18,0.1136,5,8045,27,60950,62,-0.0289,48,94,92,-0.4051,98,0.9110,12,0.8460,11,0.8560,18,0.8525,14,0.1700,30,1935,46,846,80,0.6704,80,63531,8,1.0933,8,2554.5880,39,2559.2030,38,0.9703,20,1.0927,7,"3,399.0331",12,27.4200,27,0.1181,32,0.1273,35,0.0608,11,859,39,0.5459,17,7716,11750,0.1460,28,0.1170,27,0.2337,13,16429,46,0.0812,32,3130,54,0.1270,37,0.1170,11,181,66,126,63,56,79,39,70,0.3400,4,0.3400,4,850.9785,44,59.8187,38,250287.8031,8,17593.7308,24,0.0063,96,97.5142,95,0.0675,507.6000,0.337109077040427,0.662890922959573,0.303835271927067,0.696164728072933,0.324859169317883,0.675140830682117,0.293676587980385,0.706323412019615,0.272241700449217,0.727758299550783,0.287101445834619,0.712898554165381,0.282716621433772,0.717283378566228
Caswell,21960,76,0.0020,76,-0.0528,79,-1225,79,45.1188,26,1.0268,51,0.1656,88,0.1863,84,0.2412,30,0.1818,39,0.0565,66,1241,82,84373,41,-0.1955,83,412,45,-0.1643,80,0.7700,80,0.6530,85,0.7750,53,0.6677,86,0.2400,68,958,25,870,67,0.6894,67,41155,95,0.7082,95,331.1950,88,346.3780,88,0.7532,37,0.8824,26,"1,331.0479",80,2.7792,84,0.1719,77,0.1813,84,0.1560,90,781,34,0.3291,91,1648,3266,0.1490,34,0.1280,46,0.3339,59,7379,25,0.0922,57,1198,23,0.1360,55,0.1380,57,80,21,18,19,31,26,7,18,0.5850,39,0.7350,68,597.2575,93,13.1982,85,81259.5262,94,1795.6730,91,0.1407,13,230.4542,60,0.0675,425.4000,0.489295538811147,0.510704461188853,0.482513022217498,0.517486977782502,0.515670045568679,0.484329954431321,0.488758910619631,0.511241089380369,0.442965427990386,0.557034572009614,0.406728596535275,0.593271403464725,0.37636119953091,0.62363880046909
Catawba,168239,18,0.0153,18,0.0782,25,12196,25,42.8084,48,2.0051,18,0.1996,46,0.2263,32,0.2032,56,0.1607,66,0.0551,72,9273,23,61631,61,-0.0299,49,608,27,-0.0470,42,0.8640,29,0.8100,25,0.7976,42,0.7826,40,0.1640,26,5631,81,1046,14,0.8288,14,55223,22,0.9503,22,9241.5140,12,9060.3480,13,0.5508,62,0.4639,77,"2,014.8473",48,44.0405,18,0.1535,60,0.1334,44,0.0911,38,3465,80,0.4718,32,17951,23455,0.1480,32,0.1200,31,0.2864,36,47663,80,0.0819,34,7865,84,0.1350,52,0.1350,48,201,78,320,87,41,47,65,80,0.3985,8,0.3985,8,730.7813,68,121.6320,17,183383.0168,23,30522.4527,13,0.0142,89,332.3955,41,0.0700,401.4000,0.321766686472569,0.678233313527431,0.322579541566883,0.677420458433117,0.373727221081152,0.626272778918848,0.350824259915169,0.649175740084831,0.305090595340811,0.694909404659189,0.312225773910084,0.687774226089916,0.308418266663571,0.691581733336429
Chatham,82500,34,0.0075,34,0.2262,20,15220,20,50.6886,6,4.9425,1,0.1601,89,0.2035,68,0.2965,8,0.2184,19,0.0536,76,4418,42,114051,22,0.0760,23,1076,2,-0.0358,38,0.8470,39,0.7770,41,0.8586,17,0.8368,16,0.1100,6,1627,42,958,30,0.7591,30,79769,1,1.3727,1,1887.2320,47,1823.8460,48,0.6772,48,1.0720,8,"3,376.3371",13,34.3914,22,0.1190,33,0.0960,15,0.1488,87,2337,70,0.6131,8,9628,13830,0.1260,10,0.0970,9,0.1697,4,13661,43,0.0483,7,2057,40,0.1260,31,0.1220,18,67,9,50,36,34,30,25,57,0.7250,71,0.6850,59,1282.4842,8,103.2374,22,187223.9772,20,15071.1557,29,0.0723,37,996.7684,4,0.0700,681.7000,0.50514269158337,0.49485730841663,0.500096940556051,0.499903059443949,0.549093144789425,0.450906855210575,0.524210586421515,0.475789413578485,0.551873198847262,0.448126801152738,0.557331003058486,0.442668996941514,0.563149007200947,0.436850992799053
Cherokee,29361,71,0.0027,71,0.0791,44,2151,44,52.2390,2,2.8313,8,0.1569,92,0.1782,90,0.3237,4,0.2687,4,0.0980,9,2878,56,25410,85,-0.0315,51,246,68,-0.1119,61,0.7920,69,0.7420,54,0.7989,41,0.7651,47,0.2450,70,1107,28,832,88,0.6593,88,40021,98,0.6887,98,822.0380,75,795.7600,74,0.6337,55,0.5380,66,"2,433.7453",27,7.2623,66,0.0532,2,0.0724,9,0.0764,22,400,17,0.4780,29,2504,4455,0.1730,86,0.1470,85,0.3455,66,10074,32,0.1233,89,1848,37,0.1560,82,0.1480,72,87,23,25,24,49,66,14,31,0.6100,47,0.6100,39,868.1325,43,25.3095,73,142316.8090,42,4149.1043,67,0.0372,66,134.1079,86,0.0700,455.5000,0.339375523889355,0.660624476110645,0.32595050215208,0.67404949784792,0.3045542323785,0.6954457676215,0.266908975979772,0.733091024020228,0.208698190309399,0.791301809690601,0.22102276232188,0.77897723767812,0.209801354658774,0.790198645341226
Chowan,13896,88,0.0013,88,-0.0343,66,-493,66,42.9882,46,-1.8980,97,0.1985,49,0.2134,53,0.2506,24,0.2222,17,0.0590,56,820,95,73439,49,0.3720,3,134,84,0.3814,1,0.8080,54,0.6900,79,0.6982,86,0.7125,74,0.2530,72,684,15,904,47,0.7163,47,51005,34,0.8777,34,589.1470,81,576.7470,81,1.2027,12,1.0588,9,null,null,null,null,0.0980,17,0.1228,29,0.1177,57,375,15,0.3582,82,1141,1876,0.1670,74,0.1410,75,0.3467,67,4787,14,0.0925,58,679,11,0.1260,31,0.1090,5,79,19,11,9,43,52,6,14,0.6950,66,0.6650,54,935.4847,34,12.9162,86,140674.3841,44,1942.2912,88,0.0778,32,129.4410,87,0.0675,172.7000,0.501547987616099,0.498452012383901,0.447794528196538,0.552205471803462,0.494303712639056,0.505696287360944,0.477507721230026,0.522492278769974,0.42706251784185,0.57293748215815,0.420704845814978,0.579295154185022,0.386928628708901,0.613071371291099
Clay,11924,92,0.0011,92,0.1194,48,1272,48,51.5368,3,1.0158,52,0.1591,90,0.1753,93,0.3253,2,0.2769,2,0.0789,20,941,87,14515,93,0.1589,14,178,79,0.0854,9,0.7920,69,0.7720,44,0.7594,60,0.7392,61,0.2310,64,401,6,883,58,0.6997,58,43753,86,0.7529,86,215.6430,96,212.6410,96,1.4848,3,0.9492,18,"1,529.0122",69,1.8730,86,0.0535,5,0.0701,8,0.1025,49,187,6,0.5441,19,993,1376,0.1630,66,0.1430,79,0.2906,37,3427,8,0.0896,52,524,6,0.1750,92,0.1600,86,116,41,13,12,18,3,2,2,0.4300,12,0.4300,11,789.2666,52,9.3078,95,183550.3662,22,2164.6095,83,0.0444,58,87.7454,97,0.0700,215.0000,0.360338893301562,0.639661106698438,0.336572255530287,0.663427744469713,0.31869141701893,0.68130858298107,0.284402017291066,0.715597982708934,0.2355272226051,0.7644727773949,0.249449420055792,0.750550579944208,0.247911227154047,0.752088772845953
