,population,populationRank,populationPercentOfState,populationPercentOfStateRank,populationChangeSince2014,populationChangeSince2014Rank,populationChangeSince2014Number,populationChangeSince2014NumberRank,medianAge,medianAgeRank,medianAgeChangePercent,under18ChangeRank,under18Percent,under18Rank,under18ChangeSince2014Percent,under18ChangeSince2014Rank,over65in2024Percent,over65in2024Rank,over65ChangeSince2014Percent,over65ChangeSince2014Rank,veteranPercent,veteranRank,veteranNumber,veteranNumberRank,agriculturalLandAcres,agriculturalLandRank,agriculturalLandChangeSince2017Percent,agriculturalLandChangeSince2017Rank,numberOfFarms,numberOfFarmsRank,numberOfFarmsChangeSince2017Percent,numberOfFarmsChangeSince2017Rank,broadbandInternetAccess2022Percent,broadbandInternetAccessPercent2022Rank,broadbandInternetAccess2019Percent,broadbandInternetAccessPercent2019Rank,computingDeviceAccess2022Percent,computingDeviceAccess2022PercentRank,computingDeviceAccess2019Percent,computingDeviceAccess2019PercentRank,childPovertyPercent,childPovertyPercentRank,childPovertyTotal,childPovertyTotalRank,averageWeeklyWage,averageWeeklyWageRank,averageWeeklyWageAsPercentofStateAverage,averageWeeklyWageAsPercentofStateAverageRank,perCapitaIncome,perCapitaIncomeRank,perCapitaIncomeAsPercentofStatePCI,perCapitaIncomeAsPercentofStatePCIRank,gdp2022,gdp2022Rank,Gdp2021,gdp2021Rank,preKEnrollment2023Percent,preKEnrollment2023PercentRank,preKEnrollment2022Percent,preKEnrollment2022PercentRank,k12FundingADM,k12FundingADMRank,k12Funding,k12FundingRank,youthOpportunity2022Percent,youthOpportunity2022PercentRank,youthOpportunity2019Percent,youthOpportunity2019PercentRank,adultsWithoutHSDiplomaPercent,adultsWithoutHSDiplomaPercentRank,adultsWithoutHSDiplomaTotal,adultsWithoutHSDiplomaTotalRank,educationalAttainmentPercent,educationalAttainmentPercentRank,educationalAttainmentNumber,educationalAttainmentGoal2030,foodInsecurity2022Percent,foodInsecurity2022PercentRank,foodInsecurity2021Percent,foodInsecurity2021PercentRank,medicaidEnrollmentTraditionalPercent,medicaidEnrollmentTraditionalPercentRank,medicaidEnrollmentTraditionalNumber,medicaidEnrollmentTraditionalNumberRank,medicaidEnrollmentExpansionPercent,medicaidEnrollmentExpansionPercentRank,medicaidEnrollmentExpansionNumber,medicaidEnrollmentExpansionNumberRank,uninsuredResidents2021Percent,uninsuredResidents2021PercentRank,uninsuredResidents2020Percent,uninsuredResidents2020PercentRank,drugOverdoseEmergenciesPerHundredThousand,drugOverdoseEmergenciesPerHundredThousandRank,drugOverdoseEmergenciesTotal,drugOverdoseEmergenciesTotalRank,overDoseDeathsPerHundredThousand,overDoseDeathsRank,overDoseDeathsTotal,overDoseDeathsTotalRank,propertyTaxRate,propertyTaxRateRank,propertyTaxLevy,propertyTaxLevyRank,propertyTaxPerCapita,propertyTaxPerCapitaRank,propertyTaxTotalLevy,propertyTaxTotalLevyRank,PropertyValuationPerCapita,PropertyValuationPerCapitaRank,PropertyValuationTotal,PropertyValuationTotalRank,puvDeferredShare,puvDeferredShareRank,puvValuationDeferred,puvValuationDeferredRank,localSalesTaxRate,Area (Square Mile),demVotePercent2000,repVotePercent2000,demVotePercent2004,repVotePercent2004,demVotePercent2008,repVotePercent2008,demVotePercent2012,repVotePercent2012,demVotePercent2016,repVotePercent2016,demVotePercent2020,repVotePercent2020,demVotePercent2024,repVotePercent2024
Cleveland,101172,29,0.0092,29,0.0422,35,4098,35,41.2251,62,-0.4623,84,0.2079,34,0.2222,41,0.2004,59,0.1696,58,0.0620,50,6269,30,104633,31,-0.0768,60,872,10,-0.1323,70,0.7650,82,0.6610,82,0.7445,70,0.7023,78,0.2460,71,5409,79,979,28,0.7758,28,45126,73,0.7766,73,4463.0650,25,4212.3830,26,0.6638,50,0.7431,38,681.2442,90,10.2500,55,0.1598,61,0.1511,59,0.1285,70,2993,78,0.4212,51,9814,13358,0.1640,69,0.1390,72,0.4011,80,40348,77,0.1040,74,6186,77,0.1340,50,0.1350,48,246,90,241,80,37,40,36,65,0.6875,65,0.6875,60,767.1533,59,77.1726,27,111585.9376,62,11225.0990,34,0.0457,56,318.3282,44,0.0675,464.2000,0.413758110643009,0.586241889356991,0.384552955498444,0.615447044501556,0.399691535646049,0.600308464353951,0.398133239995333,0.601866760004667,0.344451350044886,0.655548649955114,0.334068922034165,0.665931077965835,0.323916733324229,0.676083266675771
Columbus,49935,51,0.0045,51,-0.0974,97,-5390,97,42.2517,56,1.4233,37,0.2079,33,0.2225,40,0.2091,53,0.1733,53,0.0637,42,3180,52,125177,19,-0.1127,68,447,39,-0.1304,69,0.7690,81,0.6660,81,0.6478,97,0.6621,87,0.2920,85,2971,59,876,63,0.6941,63,44109,83,0.7591,83,1448.9150,61,1505.2550,60,0.8315,29,0.8366,32,"1,363.8178",76,10.9351,54,0.2066,95,0.2196,94,0.1398,77,1692,54,0.3002,97,3633,5798,0.1700,80,0.1450,83,0.4629,92,23129,63,0.1270,91,3612,62,0.1490,78,0.1590,84,133,46,74,49,41,49,23,49,0.8050,87,0.8050,83,710.9511,72,35.5234,59,88316.9079,88,4412.8426,65,0.0561,46,167.3930,82,0.0675,938.1000,0.544849410737669,0.455150589262331,0.489818147376397,0.510181852623603,0.460157872870794,0.539842127129206,0.460589387687049,0.539410612312951,0.388386543818299,0.611613456181701,0.35946419057767,0.64053580942233,0.329573170731707,0.670426829268293
Craven,105175,28,0.0096,28,0.0189,46,1956,46,37.1993,92,0.8385,58,0.2434,7,0.2443,14,0.1931,73,0.1666,59,0.1272,3,13377,12,100825,33,0.2392,8,292,58,0.1918,2,0.8240,47,0.8140,22,0.8104,34,0.8131,26,0.1910,39,4091,73,1021,16,0.8090,16,54327,26,0.9349,26,4984.2080,23,5083.4710,22,0.3486,89,0.4308,81,"2,046.1355",45,25.1531,30,0.1181,31,0.1195,26,0.0805,26,1948,60,0.4593,39,11117,13096,0.1470,30,0.1200,31,0.2841,33,29651,71,0.0936,61,5228,73,0.1130,11,0.1300,39,201,79,205,75,88,98,90,85,0.4448,15,0.4448,15,599.8801,92,62.6107,33,134865.1338,50,14076.1437,31,0.0224,81,259.4730,58,0.0675,706.6000,0.385183082600057,0.614816917399943,0.3729052508379,0.6270947491621,0.437303685625833,0.562696314374167,0.410649799741743,0.589350200258257,0.388659861995988,0.611340138004012,0.405289382905328,0.594710617094672,0.396680363321799,0.603319636678201
Cumberland,343636,5,0.0313,5,0.0413,23,13614,23,33.3439,96,1.2301,42,0.2601,3,0.2625,6,0.1491,92,0.1103,95,0.1512,2,51962,3,65919,54,-0.0012,40,327,56,-0.0268,35,0.8850,18,0.8440,13,0.8227,29,0.8222,21,0.2120,49,17593,96,1021,16,0.8090,16,46024,67,0.7920,67,17938.4420,6,18159.3140,6,0.4112,83,0.4826,73,"1,768.6773",57,87.5265,12,0.1272,42,0.1314,42,0.0577,6,5589,94,0.4680,34,45324,49125,0.1630,66,0.1410,75,0.3959,79,135737,97,0.1059,77,21149,97,0.1120,8,0.1190,13,190,73,638,95,55,78,186,96,0.7990,86,0.7990,82,592.7911,94,203.2515,11,74191.6311,96,25438.2329,15,0.0167,88,336.7068,40,0.0700,652.6000,0.503237574099407,0.496762425900593,0.48234959495191,0.51765040504809,0.588857178896913,0.411142821103087,0.599345237153838,0.400654762846162,0.582770407748026,0.417229592251974,0.584556508259458,0.415443491740542,0.567851752352478,0.432148247647522
Currituck,33670,68,0.0031,68,0.3652,28,9007,28,43.8202,41,1.0983,49,0.1918,61,0.2138,51,0.1787,80,0.1463,81,0.0859,15,2891,55,37917,76,-0.1543,76,87,93,-0.0225,32,0.8940,15,0.8310,15,0.8931,7,0.8567,13,0.1170,9,794,20,841,85,0.6664,85,59381,14,1.0219,14,824.1340,74,832.0500,73,0.4894,73,0.4592,78,"2,881.4328",19,13.0356,50,0.0984,20,0.1241,30,0.0585,8,410,18,0.4991,25,3500,5255,0.1210,6,0.0890,3,0.1656,3,5339,16,0.0369,1,733,14,0.1240,27,0.1200,16,72,12,20,21,29,22,8,23,0.6200,50,0.5600,28,1503.2112,3,48.4635,44,268430.5645,6,8654.2014,43,0.0288,77,228.8546,63,0.0675,261.9000,0.387892376681614,0.612107623318386,0.326047971306882,0.673952028693118,0.340625284841856,0.659374715158144,0.322119732320492,0.677880267679508,0.241222259026168,0.758777740973832,0.264635377239465,0.735364622760535,0.258086215595045,0.741913784404955
Dare,37786,65,0.0034,65,0.0815,41,2847,41,46.9814,16,2.0189,16,0.1673,84,0.1925,79,0.2546,21,0.1850,34,0.0848,17,3204,51,115,100,-0.9785,100,18,100,-0.4375,100,0.9280,4,0.9070,3,0.8995,5,0.9031,3,0.1080,5,723,17,862,70,0.6830,70,76100,5,1.3096,5,2592.6240,38,2541.9990,40,1.5632,2,0.8072,33,"5,723.0693",1,28.3063,25,0.1854,86,0.1302,40,0.0598,9,461,21,0.5620,14,4330,5359,0.1230,8,0.1000,10,0.2014,7,7615,27,0.0582,10,1284,27,0.1230,24,0.1360,53,46,6,17,17,54,77,20,41,0.4005,10,0.4005,10,1856.6867,2,70.1846,31,463592.1766,1,17524.2479,25,0.0000,100,0.0905,100,0.0675,383.2000,0.433591931730023,0.566408068269977,0.396356824494542,0.603643175505458,0.453111846904989,0.546888153095011,0.419080550989173,0.580919449010827,0.386575313135639,0.613424686864361,0.416184971098266,0.583815028901734,0.405131504866082,0.594868495133918
Davidson,178071,16,0.0162,16,0.0906,21,14790,21,42.1298,59,0.3478,77,0.2000,43,0.2245,37,0.1959,68,0.1638,60,0.0550,74,9797,20,73655,48,-0.2025,84,847,12,-0.1555,78,0.8500,38,0.7890,34,0.8050,36,0.7899,37,0.1610,23,5851,85,992,26,0.7861,26,48523,50,0.8350,50,5013.9550,22,4953.0780,23,0.3488,87,0.3434,92,"1,495.3397",70,34.5738,21,0.1670,71,0.1553,63,0.1155,55,4591,86,0.4173,54,16591,27490,0.1530,39,0.1270,44,0.2994,40,52726,85,0.0842,42,8676,86,0.1350,52,0.1450,65,239,87,401,92,60,86,101,89,0.5400,29,0.5400,25,572.2871,97,100.7906,23,105979.0891,71,18664.9312,23,0.0375,65,574.2859,20,0.0700,553.2000,0.314019307564068,0.685980692435932,0.290065130091452,0.709934869908548,0.330616636208218,0.669383363791782,0.29459911151742,0.70540088848258,0.250034517990777,0.749965482009223,0.259307627099228,0.740692372900772,0.262189362603003,0.737810637396997
Davie,44800,56,0.0041,56,0.0924,40,3788,40,45.0930,27,1.4953,33,0.1825,69,0.2128,55,0.2298,33,0.1855,32,0.0598,55,2680,64,74899,47,-0.0264,47,594,28,0.0051,25,0.9120,11,0.8350,14,0.8738,14,0.8301,18,0.1510,17,1347,37,958,30,0.7591,30,60579,13,1.0425,13,1416.5380,62,1418.6510,63,0.9461,21,0.9397,19,"2,261.1057",35,13.5418,47,0.1429,53,0.1498,58,0.1089,51,1001,41,0.4522,40,4157,6047,0.1480,32,0.1190,29,0.2427,17,10750,35,0.0679,21,1734,34,0.1230,24,0.1340,47,203,81,87,55,47,63,20,41,0.7730,81,0.7730,77,999.2639,24,44.2574,48,129270.8792,55,5725.4072,56,0.0917,25,440.1285,26,0.0675,263.7000,0.26389591615468,0.73610408384532,0.254923215898826,0.745076784101174,0.306463614266581,0.693536385733419,0.280824600920576,0.719175399079424,0.252491376006133,0.747508623993867,0.269155206286837,0.730844793713163,0.264837413780035,0.735162586219965
Duplin,49683,52,0.0045,52,-0.0960,96,-5278,96,35.8358,93,-1.4450,95,0.2598,4,0.2579,8,0.1549,89,0.1535,74,0.0574,63,2854,58,254164,3,0.0455,27,949,5,0.1573,3,0.7590,84,0.6540,84,0.6845,90,0.6738,84,0.2960,88,3421,66,883,58,0.6997,58,52760,29,0.9079,29,2126.9360,44,2186.0780,44,0.9312,22,0.6410,52,"1,057.2106",88,10.0002,56,0.1815,78,0.1323,43,0.2110,96,2311,68,0.3728,72,4083,6107,0.1650,71,0.1300,48,0.4524,89,22261,58,0.1009,71,2797,51,0.1960,97,0.2120,99,77,17,45,34,26,16,15,35,0.7350,75,0.7350,68,754.1342,64,37.1072,57,102603.2949,73,5048.5951,60,0.1664,9,697.9436,14,0.0700,814.7000,0.452322738386308,0.547677261613692,0.418712955122777,0.581287044877223,0.452607113985449,0.547392886014551,0.441733092082742,0.558266907917258,0.404048780487805,0.595951219512195,0.388608156028369,0.611391843971631,0.354403096683382,0.645596903316618
Durham,340727,6,0.0310,6,0.1570,7,46239,7,35.4334,95,1.6936,30,0.2231,16,0.2259,33,0.1403,96,0.1086,96,0.0440,97,14981,9,16166,92,-0.1310,74,212,74,-0.1203,64,0.9170,9,0.8700,8,0.8856,10,0.8569,12,0.1700,30,10753,95,1767,1,1.4002,1,59070,15,1.0165,15,39750.5810,3,38590.1750,3,0.2978,95,0.3180,94,"4,903.0007",3,187.9516,4,0.0970,16,0.0777,11,0.0866,30,9075,96,0.7212,3,75574,73098,0.1220,7,0.0960,8,0.2563,22,86458,95,0.0606,13,12749,95,0.1250,29,0.1350,48,188,69,605,94,41,48,132,93,0.7987,85,0.7522,74,1147.1453,13,386.9413,4,152505.3523,34,51441.2754,4,0.0048,97,204.1304,70,0.0750,286.5000,0.641314822085014,0.358685177914986,0.682841906576994,0.317158093423006,0.761775729149025,0.238224270850975,0.767099101335927,0.232900898664073,0.810494652406417,0.189505347593583,0.816767994942054,0.183232005057946,0.814707026953859,0.185292973046141
Edgecombe,47637,53,0.0043,53,-0.1148,99,-6177,99,44.4451,31,2.5904,10,0.2283,11,0.2362,19,0.2415,29,0.1717,55,0.0568,65,2705,63,145050,12,-0.0260,46,243,69,-0.0241,33,0.7570,87,0.6430,87,0.7023,84,0.6370,92,0.3180,93,3407,65,888,54,0.7036,54,43507,87,0.7487,87,1624.0710,56,1588.7870,56,0.5282,66,0.5961,57,"2,093.2536",43,12.7605,51,0.1835,82,0.1696,75,0.1186,58,1351,47,0.3473,86,3957,5762,0.1640,69,0.1430,79,0.5593,98,26817,69,0.1819,100,4416,69,0.1120,8,0.1140,7,134,47,69,45,51,72,26,58,0.8900,96,0.9500,97,701.9467,74,33.6590,62,73889.1283,97,3543.0576,74,0.1209,19,321.8130,43,0.0700,505.4000,0.623381631866013,0.376618368133987,0.612024714828897,0.387975285171103,0.673282265552461,0.326717734447539,0.681784331248138,0.318215668751862,0.662609761078211,0.337390238921789,0.63605455623641,0.36394544376359,0.614306328592043,0.385693671407957
Forsyth,396317,4,0.0361,4,0.0882,10,32110,10,38.0818,86,0.6987,63,0.2138,26,0.2354,20,0.1761,85,0.1437,85,0.0469,91,18568,6,32956,81,-0.0530,54,482,37,-0.1346,73,0.8680,26,0.8120,24,0.8298,24,0.8069,29,0.2160,55,18471,97,1225,5,0.9707,5,57781,18,0.9944,18,26511.5480,5,25843.6720,5,0.3279,92,0.3023,95,"2,999.4223",17,163.3965,5,0.1237,37,0.1181,25,0.1062,50,10251,97,0.5537,16,53428,70763,0.1450,26,0.1160,23,0.3083,45,121242,96,0.0837,41,19382,96,0.1290,41,0.1220,18,192,75,732,97,49,65,186,96,0.6778,64,0.6778,57,784.0977,54,308.3833,5,115682.7504,60,45497.6787,8,0.0082,94,295.9279,47,0.0700,407.9000,0.436570486946245,0.563429513053755,0.456886478064544,0.543113521935456,0.55283778124412,0.44716221875588,0.536477793725413,0.463522206274587,0.554239346628413,0.445760653371587,0.570594203849629,0.429405796150371,0.56665359392763,0.43334640607237
Franklin,80236,36,0.0073,36,0.2949,19,18271,19,42.2290,58,1.6538,32,0.2033,39,0.2297,27,0.1936,72,0.1487,77,0.0517,80,4151,44,107923,27,-0.0004,39,518,35,-0.0372,39,0.8660,27,0.7860,37,0.7971,43,0.7766,42,0.1570,22,2468,51,1027,15,0.8138,15,46330,66,0.7973,66,1784.0030,53,1754.8810,52,0.4461,81,0.4574,79,"2,323.6873",30,25.3282,29,0.1427,51,0.1765,81,0.1295,71,2189,65,0.4699,33,7942,12495,0.1260,10,0.1030,13,0.2700,26,20822,53,0.0648,17,2900,52,0.1310,45,0.1460,68,103,33,72,48,43,53,30,60,0.5050,23,0.7850,79,781.3608,56,60.2492,36,99536.4040,76,7675.0530,47,0.0684,39,431.1132,28,0.0675,491.8000,0.467188968975243,0.532811031024757,0.445884951502929,0.554115048497071,0.496433720312619,0.503566279687381,0.47918970006063,0.52081029993937,0.440257164352643,0.559742835647357,0.431729200652529,0.568270799347471,0.431468946680917,0.568531053319083
Gaston,243242,11,0.0221,11,0.1498,11,31688,11,40.8890,66,0.8585,57,0.2099,30,0.2307,26,0.1742,87,0.1480,78,0.0553,71,13440,11,36859,77,-0.0222,44,412,45,-0.2107,84,0.8580,34,0.7990,30,0.8036,38,0.7720,44,0.1680,29,8555,93,995,25,0.7884,25,49674,40,0.8548,40,8021.2110,16,7896.8420,16,0.6864,45,0.6667,47,"1,551.1635",68,53.0017,15,0.1460,58,0.1403,53,0.0793,23,4701,89,0.4962,26,29411,35691,0.1440,25,0.1230,36,0.3236,54,77960,94,0.0870,48,12640,94,0.1240,27,0.1290,36,290,97,652,96,68,91,152,95,0.5990,45,0.6100,39,840.0807,46,202.3628,12,137718.1465,47,33174.2357,11,0.0078,95,217.2737,66,0.0700,355.8000,0.328276637041577,0.671723362958423,0.318930494756401,0.681069505243599,0.37410449273462,0.62589550726538,0.371418334098467,0.628581665901533,0.335326700726002,0.664673299273998,0.359314688750088,0.640685311249912,0.373755195521249,0.626244804478751
Gates,10534,95,0.0010,95,-0.0719,72,-816,72,42.8222,47,-0.5891,86,0.1771,74,0.2015,70,0.2278,35,0.1780,47,0.0741,25,781,97,71866,50,0.2394,7,122,88,-0.1348,74,0.7380,93,0.7300,59,0.8139,32,0.7605,50,0.1950,40,381,5,836,87,0.6624,87,49850,39,0.8579,39,184.4460,97,200.5710,97,1.0909,15,1.4138,2,"2,103.2764",42,2.9530,81,0.0980,18,0.1255,33,0.0618,12,134,3,0.2777,98,602,1710,0.1430,23,0.1160,23,0.2682,25,2813,4,0.0600,12,361,4,0.1110,6,0.1070,3,35,1,4,3,35,33,4,7,0.8400,91,0.8400,90,815.7284,49,8.5570,98,97110.5268,79,1018.6894,98,0.2025,4,193.7443,74,0.0675,340.6000,0.567757009345794,0.432242990654206,0.524351050679852,0.475648949320148,0.526315789473684,0.473684210526316,0.520747663551402,0.479252336448598,0.453508271534512,0.546491728465488,0.430576695416878,0.569423304583122,0.390630382363073,0.609369617636927
Graham,7718,98,0.0007,98,-0.0918,70,-780,70,43.9684,37,-1.0700,92,0.2113,27,0.2163,48,0.2586,19,0.2272,16,0.0507,85,391,98,2256,98,-0.7949,99,70,97,-0.4309,99,0.7290,94,0.5720,98,0.6332,98,0.6036,97,0.2270,58,348,4,882,60,0.6989,60,41336,93,0.7114,93,228.9350,94,232.0250,94,0.4783,74,0.8444,30,"1,265.3541",84,1.3577,90,0.1274,44,0.1543,61,0.1402,79,247,9,0.3371,89,594,1248,0.1680,78,0.1500,90,0.4371,87,3371,6,0.1486,96,625,10,0.1980,98,0.1830,94,119,42,10,6,24,10,2,2,0.5900,41,0.5900,34,1287.5234,7,9.9307,94,218224.2994,12,1683.1640,93,0.0333,70,50.6564,99,0.0700,292.0000,0.30392749244713,0.69607250755287,0.320807061790668,0.679192938209332,0.309366593299095,0.690633406700905,0.289222021194107,0.710777978805893,0.189582819057023,0.810417180942977,0.196099674972914,0.803900325027086,0.177678949597628,0.822321050402372
Granville,62881,46,0.0057,46,0.0897,33,5175,33,43.9416,39,2.3325,13,0.1809,71,0.2060,66,0.1967,64,0.1471,79,0.0483,88,3039,53,102115,32,-0.1819,79,483,36,-0.1329,71,0.8710,24,0.7960,32,0.8368,23,0.8018,30,0.1530,18,1840,43,1075,12,0.8518,12,46906,61,0.8072,61,3309.3370,31,3213.5500,31,0.5813,61,0.7699,34,"2,272.1545",34,19.0043,36,0.1718,76,0.1827,86,0.1440,83,2126,64,0.4448,41,6566,10737,0.1320,15,0.1020,11,0.2756,29,17151,48,0.0567,8,2185,42,0.1210,19,0.1310,41,124,43,75,50,40,44,24,53,0.6310,56,0.8400,90,731.3759,67,45.5099,46,87068.5616,91,5417.8412,58,0.0878,29,390.9577,34,0.0675,532.0000,0.512220971053852,0.487779028946148,0.488300625404356,0.511699374595644,0.533175645365197,0.466824354634803,0.522939660808368,0.477060339191632,0.487132075471698,0.512867924528302,0.466647443291042,0.533352556708958,0.452469446894293,0.547530553105707
Greene,19939,79,0.0018,79,-0.0430,75,-895,75,42.5449,51,3.1163,7,0.1965,50,0.2248,34,0.1962,66,0.1435,86,0.0461,92,920,90,97668,35,0.1722,13,210,75,0.0145,21,0.7860,74,0.7280,60,0.7225,75,0.7326,64,0.3520,99,1337,36,850,79,0.6735,79,38963,99,0.6705,99,420.3170,86,456.8290,85,0.6887,43,0.6419,51,"1,083.7716",87,2.8850,82,0.1678,74,0.2050,91,0.2324,98,1360,48,0.3045,96,1782,2054,0.1700,80,0.1360,64,0.3344,61,6668,20,0.0944,63,1135,21,0.2050,100,0.2060,98,138,49,29,28,24,10,5,10,0.7860,84,0.7860,81,542.5842,99,10.8180,92,69031.0743,100,1376.3416,95,0.1970,5,230.3200,61,0.0700,266.7000,0.424969987995198,0.575030012004802,0.412219644238206,0.587780355761794,0.470500743678731,0.529499256321269,0.461350592257907,0.538649407742093,0.451811003885199,0.548188996114801,0.440156214105215,0.559843785894785,0.409069269221614,0.590930730778386
Guilford,553023,3,0.0503,3,0.0789,8,40463,8,38.2410,85,1.4893,35,0.2014,42,0.2238,38,0.1737,88,0.1375,87,0.0478,90,26415,5,94798,37,0.2416,6,775,15,-0.0925,54,0.8730,21,0.7630,47,0.8459,20,0.8138,25,0.2120,49,24655,99,1137,7,0.9010,7,55008,23,0.9466,23,34424.9430,4,34071.0900,4,0.7137,40,0.6969,44,"3,431.5224",11,260.2261,3,0.0951,15,0.0979,17,0.0924,41,12782,98,0.5766,13,79734,112787,0.1370,19,0.1100,17,0.3231,53,177878,98,0.0875,49,29218,98,0.1180,16,0.1190,13,191,74,1027,98,42,51,228,98,0.7305,74,0.7305,67,952.9298,29,524.5421,3,130448.9743,54,71805.8988,3,0.0104,93,611.4164,17,0.0675,645.9000,0.489081674042414,0.510918325957586,0.504508411667406,0.495491588332594,0.59253436967046,0.40746563032954,0.582769933984727,0.417230066015273,0.603485504023291,0.396514495976709,0.617326485483986,0.382673514516014,0.610710398115598,0.389289601884402
Halifax,46342,54,0.0042,54,-0.1074,98,-5576,98,45.2995,25,1.4946,34,0.2083,31,0.2194,44,0.2427,28,0.1845,35,0.0618,52,2866,57,183565,5,-0.1220,71,220,73,-0.3452,97,0.6670,97,0.5810,97,0.6558,95,0.6493,90,0.2800,80,2826,56,843,84,0.6680,84,44768,76,0.7704,76,1403.4920,64,1429.2100,62,0.5285,65,0.5902,62,898.2533,89,5.6922,71,0.2499,98,0.2543,98,0.1241,64,1390,49,0.3390,87,3798,4692,0.1760,90,0.1600,94,0.4697,95,21975,55,0.1253,90,3222,57,0.1280,39,0.1400,59,102,30,51,37,40,46,20,41,0.7000,67,0.7600,75,701.4586,75,32.8149,64,92297.1905,85,4317.7549,66,0.1271,17,402.3789,31,0.0700,723.7000,0.604137115839243,0.395862884160757,0.58768352365416,0.41231647634584,0.641674664107486,0.358325335892514,0.662168934808589,0.337831065191411,0.635538157310626,0.364461842689374,0.606634146341463,0.393365853658537,0.589021519838601,0.410978480161399
Harnett,145438,23,0.0132,23,0.1679,16,20909,16,35.5724,94,1.2375,41,0.2531,5,0.2717,4,0.1428,95,0.1175,91,0.0850,16,12361,14,109179,25,0.0275,30,563,30,-0.1244,67,0.8140,49,0.7890,34,0.8163,31,0.8249,20,0.1660,28,5732,84,858,72,0.6799,72,44192,82,0.7605,82,2716.2680,36,2722.9460,36,0.4564,80,0.3767,88,"1,401.3958",75,28.1218,26,0.1273,43,0.1441,54,0.0925,42,3647,82,0.4634,36,18271,24501,0.1490,34,0.1220,34,0.3003,41,42492,78,0.0757,26,6365,78,0.1260,31,0.1250,26,188,68,255,82,45,57,61,79,0.5910,42,0.5910,35,647.8211,85,91.6673,25,109614.4063,66,15510.5481,28,0.0700,38,977.2181,6,0.0700,594.9000,0.382782121503533,0.617217878496467,0.355948899492073,0.644051100507927,0.415840848280646,0.584159151719354,0.404023685192093,0.595976314807907,0.37737593289892,0.62262406710108,0.385769163610966,0.614230836389034,0.373092573753815,0.626907426246185
Haywood,64109,45,0.0058,45,0.0813,34,4818,34,48.5809,11,1.6842,31,0.1699,80,0.1855,86,0.2723,14,0.2373,12,0.0777,22,4983,36,49288,70,-0.0566,56,567,29,0.0481,15,0.7990,60,0.7150,67,0.7587,62,0.7487,55,0.1850,34,1976,47,900,50,0.7132,50,50894,35,0.8758,35,1957.1370,46,1919.5810,45,0.5300,64,0.4840,72,"2,456.1933",26,17.4046,38,0.1278,46,0.1347,45,0.0963,45,1334,43,0.5021,24,6953,10766,0.1530,39,0.1290,47,0.2939,38,18725,50,0.0785,30,2719,47,0.1340,50,0.1280,33,108,35,67,43,56,80,35,64,0.5500,30,0.5500,26,880.6583,41,56.1006,41,160119.6858,30,10200.1043,37,0.0428,60,376.7587,36,0.0700,553.6000,0.446944457121994,0.553055542878006,0.435846714762237,0.564153285237763,0.460564399421129,0.539435600578871,0.43082356367873,0.56917643632127,0.356200258485817,0.643799741514183,0.365334371004503,0.634665628995497,0.372942690183885,0.627057309816115
Henderson,121587,24,0.0111,24,0.1074,26,11790,26,49.1234,9,2.7307,9,0.1696,81,0.1987,72,0.2912,9,0.2471,10,0.0667,34,8110,26,32743,82,-0.2033,85,520,34,0.1429,4,0.8760,20,0.8230,19,0.8459,21,0.8090,27,0.1620,24,3396,64,1009,20,0.7995,20,55243,21,0.9507,21,4385.7970,26,4230.0990,25,0.2767,97,0.4895,71,"2,475.5642",25,33.1280,23,0.1105,26,0.0997,19,0.0931,44,2348,71,0.4753,31,11983,17717,0.1460,28,0.1120,19,0.2185,11,26263,68,0.0627,14,3914,67,0.1370,57,0.1500,75,125,44,147,67,37,38,43,73,0.4310,13,0.4310,12,878.8626,42,105.6463,21,203912.4412,15,24511.9067,17,0.0201,85,432.3087,27,0.0675,372.9000,0.328418300653595,0.671581699346405,0.348679929348331,0.651320070651669,0.393672077158316,0.606327922841684,0.361027190332326,0.638972809667674,0.356369976274355,0.643630023725645,0.404666656752376,0.595333343247624,0.426399256440791,0.573600743559209
Hertford,19564,81,0.0018,81,-0.1753,92,-4159,92,40.2163,71,-1.0789,93,0.1961,52,0.2020,69,0.2185,45,0.1739,51,0.0618,51,1210,84,67209,52,-0.1693,77,97,91,-0.2302,87,0.7610,83,0.6460,86,0.6996,85,0.6825,83,0.3510,98,1268,34,914,39,0.7242,39,41529,92,0.7147,92,824.6430,73,834.0810,72,0.8944,24,1.0946,6,"1,866.5773",53,4.2521,75,0.2499,99,0.2664,100,0.1007,48,505,23,0.3509,83,1760,2685,0.1560,46,0.1320,55,0.4369,86,8620,30,0.1313,92,1411,30,0.1190,18,0.1240,24,42,4,10,6,30,24,7,18,0.8400,91,0.8400,90,775.3221,57,15.2971,81,92300.2554,84,1821.0840,90,0.1296,15,168.3842,81,0.0700,353.2000,0.697177726926011,0.302822273073989,0.636026227885686,0.363973772114314,0.708639879268063,0.291360120731937,0.722857142857143,0.277142857142857,0.690378659206714,0.309621340793286,0.671047655068079,0.328952344931921,0.634844134536505,0.365155865463495
Hoke,56269,49,0.0051,49,0.1263,31,6308,31,32.9416,97,0.4433,74,0.2983,2,0.3100,1,0.1160,99,0.0857,99,0.1165,4,6553,29,36788,78,-0.3143,94,185,78,-0.0212,31,0.8650,28,0.8030,29,0.8112,33,0.8017,31,0.2020,42,2860,57,845,81,0.6696,81,41181,94,0.7087,94,1162.8810,68,1109.6270,68,0.8415,28,0.6499,49,null,null,null,null,0.1623,64,0.1701,77,0.0980,46,1608,53,0.4375,43,7180,9898,0.1570,50,0.1330,58,0.3691,74,20456,52,0.0981,67,3165,56,0.1390,63,0.1540,79,112,37,62,42,42,50,23,49,0.7300,72,0.7300,64,636.2046,87,35.2565,60,87151.3130,90,4829.6643,62,0.0445,57,179.8999,78,0.0675,390.2000,0.593306527909177,0.406693472090823,0.524296443760746,0.475703556239254,0.594523195876289,0.405476804123711,0.596389464338562,0.403610535661438,0.556216401692783,0.443783598307217,0.555299430775744,0.444700569224256,0.530053914360825,0.469946085639175
Hyde,4490,99,0.0004,99,-0.1714,76,-929,76,46.3913,18,3.6441,4,0.1661,87,0.1742,95,0.2470,25,0.1711,57,0.0490,87,220,100,112445,23,-0.0995,64,123,87,-0.1087,60,0.7050,95,0.5640,99,0.6254,100,0.5871,100,0.2830,83,198,1,781,95,0.6189,95,48593,48,0.8362,48,177.9230,98,182.0470,98,0.6875,44,0.9545,17,"3,821.4286",5,1.7120,87,0.1866,91,0.1471,56,0.2406,99,288,12,0.3475,85,416,354,0.2160,100,0.1490,87,0.3157,51,1435,2,0.0902,54,236,2,0.1950,96,0.1750,92,41,2,2,1,20,4,1,1,0.9200,97,1.0450,100,2248.7191,1,10.2227,93,215188.4314,13,978.2466,99,0.1917,6,197.1995,73,0.0675,612.3000,0.49009009009009,0.50990990990991,0.459045116075339,0.540954883924661,0.505911129229515,0.494088870770485,0.493633276740238,0.506366723259762,0.428317798490901,0.571682201509099,0.424512987012987,0.575487012987013,0.388564273789649,0.611435726210351
